Tanggal,Jam,PosX,PosY,PersenRusak,GramHilang,Filename
2026-08-16,17:52:32,2000,800,0.0,0.0,scan_20260816_175232_pos_2000_800.jpg
2026-08-16,17:52:32,0,1200,0.0,0.0,scan_20260816_175232_pos_0_1200.jpg
2026-08-16,17:52:32,400,1200,0.0,0.0,scan_20260816_175232_pos_400_1200.jpg
2026-08-16,17:52:32,800,1200,0.0,0.0,scan_20260816_175232_pos_800_1200.jpg
2026-08-16,17:52:32,1200,1200,0.0,0.0,scan_20260816_175232_pos_1200_1200.jpg
2026-08-16,17:52:32,1600,1200,0.0,0.0,scan_20260816_175232_pos_1600_1200.jpg
2026-08-16,17:52:32,2000,1200,0.0,0.0,scan_20260816_175232_pos_2000_1200.jpg
2026-08-16,17:59:00,0,0,0.0,0.0,scan_20260816_175900_pos_0_0.jpg
2026-08-16,17:59:00,400,0,0.0,0.0,scan_20260816_175900_pos_400_0.jpg
2026-08-16,17:59:00,800,0,0.0,0.0,scan_20260816_175900_pos_800_0.jpg
2026-08-16,17:59:00,1200,0,0.0,0.0,scan_20260816_175900_pos_1200_0.jpg
2026-08-16,17:59:00,1600,0,0.0,0.0,scan_20260816_175900_pos_1600_0.jpg
2026-08-16,17:59:00,2000,0,0.0,0.0,scan_20260816_175900_pos_2000_0.jpg
2026-08-16,17:59:00,0,400,0.0,0.0,scan_20260816_175900_pos_0_400.jpg
2026-08-16,17:59:00,400,400,0.0,0.0,scan_20260816_175900_pos_400_400.jpg
2026-08-16,17:59:00,800,400,0.0,0.0,scan_20260816_175900_pos_800_400.jpg
2026-08-16,17:59:00,1200,400,0.0,0.0,scan_20260816_175900_pos_1200_400.jpg
2026-08-16,17:59:00,1600,400,0.0,0.0,scan_20260816_175900_pos_1600_400.jpg
2026-08-16,17:59:00,2000,400,0.0,0.0,scan_20260816_175900_pos_2000_400.jpg
2026-08-16,17:59:00,0,800,0.0,0.0,scan_20260816_175900_pos_0_800.jpg
2026-08-16,17:59:00,400,800,0.0,0.0,scan_20260816_175900_pos_400_800.jpg
2026-08-16,17:59:00,800,800,0.0,0.0,scan_20260816_175900_pos_800_800.jpg
2026-08-16,17:59:00,1200,800,0.0,0.0,scan_20260816_175900_pos_1200_800.jpg
2026-08-16,17:59:00,1600,800,0.0,0.0,scan_20260816_175900_pos_1600_800.jpg
2026-08-16,17:59:00,2000,800,0.0,0.0,scan_20260816_175900_pos_2000_800.jpg
2026-08-16,17:59:00,0,1200,0.0,0.0,scan_20260816_175900_pos_0_1200.jpg
2026-08-16,17:59:00,400,1200,0.0,0.0,scan_20260816_175900_pos_400_1200.jpg
2026-08-16,17:59:00,800,1200,0.0,0.0,scan_20260816_175900_pos_800_1200.jpg
2026-08-16,17:59:00,1200,1200,0.0,0.0,scan_20260816_175900_pos_1200_1200.jpg
2026-08-16,17:59:00,1600,1200,0.0,0.0,scan_20260816_175900_pos_1600_1200.jpg
2026-08-16,17:59:00,2000,1200,0.0,0.0,scan_20260816_175900_pos_2000_1200.jpg
2026-08-16,18:04:58,0,0,0.0,0.0,scan_20260816_180458_pos_0_0.jpg
2026-08-16,18:04:58,400,0,0.0,0.0,scan_20260816_180458_pos_400_0.jpg
2026-08-16,18:04:58,800,0,0.0,0.0,scan_20260816_180458_pos_800_0.jpg
2026-08-16,18:04:58,1200,0,0.0,0.0,scan_20260816_180458_pos_1200_0.jpg
